id,name,alias,type,status,relationship,geometry
CapellaSubprovince,Capella Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.33803100100002 -2817755.8263468216, 16798632.33084232 -23.487362761309633))"
ChillagoeSubprovince,Chillagoe Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.13566926600004 -1878999.971655168, 16052129.214002581 -16.79833296147736))"
CoastalSubprovince,Coastal Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.966909773 -2758683.3444633214, 16869908.10643236 -23.55598322430809))"
ConnorsSubprovince,Connors Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.11812992399996 -2566337.603297379, 16667325.558392592 -19.30506372641065))"
CraigileeSubprovince,Craigilee Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.86118761 -23.35103503731276, 150.15815497999995 -23.011145357320476))"
EasternSubprovince,Eastern Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((139.704475945 -22.089637193341837, 140.955165428 -19.325583782410124))"
ErebusSubprovince,Erebus Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.70268339999996 -2541097.102946749, 16708521.731333436 -23.69021181230514))"
ForkLagoonsSubprovince,Fork Lagoons Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.612568914 -23.704934990304817, 147.91349483800002 -23.33698712131304))"
GrantleighSubprovince,Grantleigh Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.77256669899998 -2707914.9344717017, 16691977.711251935 -22.976999355321265))"
GraveyardCreekSubprovince,Graveyard Creek Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.138247407 -19.659951328401565, 144.99896092300003 -18.90360330842105))"
Kalkadoon-LeichhardtSubprovince,Kalkadoon-Leichhardt Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((139.515343401 -22.055848736342693, 139.997457232 -19.24453554741219))"
MountWindsorSubprovince,Mount Windsor Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((145.433064069 -20.609464740377696, 147.249068254 -19.914320246395068))"
NogoSubprovince,Nogo Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.562635302 -25.640006829263307, 151.16693163800008 -24.570019747285862))"
NorthDAguilarSubprovince,North D'Aguilar Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.11336225399995 -27.32862775022987, 153.04692154199995 -25.738556968261292))"
Palmer-BarronSubprovince,Palmer-Barron Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.13928027600002 -2095364.398538449, 16291950.964571105 -14.166447269551671))"
PhilpottSubprovince,Philpott Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.282818746 -26.043383046255112, 151.44949263299998 -25.170044217273063))"
RockhamptonSubprovince,Rockhampton Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.944808846 -2817755.8263468216, 16812500.810451023 -23.072339193319053))"
SilverSpurSubprovince,Silver Spur Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.41162488700004 -3360530.157161613, 16850510.889655534 -28.80662928720278))"
SouthDAguilarSubprovince,South D'Aguilar Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.54463956100008 -27.555866276225558, 153.156971613 -26.981421293236476))"
StoodleighSubprovince,Stoodleigh Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.70284533799997 -2565901.7108128592, 16703912.37293423 -22.40667499233443))"
